filename,filepath,score,status
unsplash_pose_7mYMFtkjObs.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_7mYMFtkjObs.jpg,96.01,ok
unsplash_pose_l1LjCZhcrn8.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_l1LjCZhcrn8.jpg,95.54,ok
unsplash_pose_7rZI78EgBUc.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_7rZI78EgBUc.jpg,92.93,ok
unsplash_pose_nyA-t63X22c.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_nyA-t63X22c.jpg,91.74,ok
unsplash_pose_ke0Ts9N7l6I.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_ke0Ts9N7l6I.jpg,91.53,ok
unsplash_pose_7DdekhjoAl0.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_7DdekhjoAl0.jpg,91.5,ok
unsplash_pose_OlknUkex2CA.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_OlknUkex2CA.jpg,90.25,ok
unsplash_pose_R8BB9uDpVLc.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_R8BB9uDpVLc.jpg,89.19,ok
unsplash_pose_pj2LT1vSjaY.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_pj2LT1vSjaY.jpg,89.06,ok
unsplash_pose_PpLkFQk5is4.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_PpLkFQk5is4.jpg,88.74,ok
unsplash_pose_OTdceLl0TWw.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_OTdceLl0TWw.jpg,88.72,ok
unsplash_pose_98G1W52Q7f0.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_98G1W52Q7f0.jpg,88.45,ok
unsplash_pose_o1v2RwnVTxI.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_o1v2RwnVTxI.jpg,88.38,ok
unsplash_pose_JAXl0bI5P70.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_JAXl0bI5P70.jpg,88.33,ok
unsplash_pose_Q3xYu5EKpSE.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_Q3xYu5EKpSE.jpg,88.2,ok
unsplash_pose_YaMVnpW92Os.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_YaMVnpW92Os.jpg,87.77,ok
unsplash_pose_ikQms1GeDp8.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_ikQms1GeDp8.jpg,87.73,ok
unsplash_pose_RgZ14gbYdLA.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_RgZ14gbYdLA.jpg,87.6,ok
unsplash_pose_BONVzPnUyY4.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_BONVzPnUyY4.jpg,87.55,ok
unsplash_pose_UjZt-BWwM-M.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_UjZt-BWwM-M.jpg,87.52,ok
unsplash_pose_5HJ7Sl0QRtE.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_5HJ7Sl0QRtE.jpg,87.47,ok
unsplash_pose_eC_uhOmownM.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_eC_uhOmownM.jpg,87.4,ok
unsplash_pose_z6TagXYrOaU.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_z6TagXYrOaU.jpg,87.37,ok
unsplash_pose_Xnzk8PMqjKA.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_Xnzk8PMqjKA.jpg,87.29,ok
unsplash_pose_8GIvE_7VjIc.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_8GIvE_7VjIc.jpg,87.25,ok
unsplash_pose_rt59JCXzpcU.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_rt59JCXzpcU.jpg,87.18,ok
unsplash_pose_RqeNxbKWhZI.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_RqeNxbKWhZI.jpg,87.05,ok
unsplash_pose_mnOlw0ERRDg.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_mnOlw0ERRDg.jpg,87.04,ok
unsplash_pose_H5oxFwfUr6s.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_H5oxFwfUr6s.jpg,86.99,ok
unsplash_pose_fKszlW65LKE.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_fKszlW65LKE.jpg,86.87,ok
unsplash_pose_9dbd26SY6vI.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_9dbd26SY6vI.jpg,86.81,ok
unsplash_pose_BReSQo8qwjs.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_BReSQo8qwjs.jpg,86.72,ok
unsplash_pose_aTHs7ozqgNM.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_aTHs7ozqgNM.jpg,86.66,ok
unsplash_pose_UlckiiBORNc.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_UlckiiBORNc.jpg,86.66,ok
unsplash_pose_C1sDxiSsE-8.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_C1sDxiSsE-8.jpg,86.6,ok
unsplash_pose_wIGyzIHN7-U.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_wIGyzIHN7-U.jpg,86.59,ok
unsplash_pose_RNKoJeLIWrU.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_RNKoJeLIWrU.jpg,86.57,ok
unsplash_pose_seiWb-gzYAY.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_seiWb-gzYAY.jpg,86.54,ok
unsplash_pose_rMsF77XCx0U.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_rMsF77XCx0U.jpg,86.53,ok
unsplash_pose_HtnjwPpRJYk.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_HtnjwPpRJYk.jpg,86.47,ok
unsplash_pose_3P9XPYKZWIM.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_3P9XPYKZWIM.jpg,86.4,ok
unsplash_pose_7OaNxcZBZlc.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_7OaNxcZBZlc.jpg,86.34,ok
unsplash_pose_sN4tEHzC4lQ.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_sN4tEHzC4lQ.jpg,86.17,ok
unsplash_pose_eToH-X6yfUg.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_eToH-X6yfUg.jpg,86.17,ok
unsplash_pose_piuq7b8yU2U.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_piuq7b8yU2U.jpg,86.07,ok
unsplash_pose_-TQwOD8rdLU.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_-TQwOD8rdLU.jpg,86.05,ok
unsplash_pose_j5ANn7RBEhM.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_j5ANn7RBEhM.jpg,86,ok
unsplash_pose_fawBcj30NXA.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_fawBcj30NXA.jpg,85.97,ok
unsplash_pose_A2JvjIiB-Lc.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_A2JvjIiB-Lc.jpg,85.86,ok
unsplash_pose_TFe8liWdRHY.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_TFe8liWdRHY.jpg,85.86,ok
unsplash_pose_turuFA7D9ws.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_turuFA7D9ws.jpg,85.83,ok
unsplash_pose_3XCFqdWlh5c.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_3XCFqdWlh5c.jpg,85.75,ok
unsplash_pose_rTTYQeEQFC8.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_rTTYQeEQFC8.jpg,85.73,ok
unsplash_pose_HzY_UYCNYsQ.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_HzY_UYCNYsQ.jpg,85.73,ok
unsplash_pose_9L87qvbYJIE.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_9L87qvbYJIE.jpg,85.68,ok
unsplash_pose_Z-Ae1Zj9YbM.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_Z-Ae1Zj9YbM.jpg,85.57,ok
unsplash_pose_BlQOgXrFX-Q.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_BlQOgXrFX-Q.jpg,85.53,ok
unsplash_pose_chbckpjDswM.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_chbckpjDswM.jpg,85.53,ok
unsplash_pose_zv4A_Xj5NVo.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_zv4A_Xj5NVo.jpg,85.52,ok
unsplash_pose_VonYASkhn4I.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_VonYASkhn4I.jpg,85.48,ok
unsplash_pose_FbJW1l0Lf-w.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_FbJW1l0Lf-w.jpg,85.47,ok
unsplash_pose_sEoZHipn7j4.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_sEoZHipn7j4.jpg,85.45,ok
unsplash_pose_uZS-v9aa338.jpg,d:\CDAC PGCP AI\Project Idea\Pose Suggestor\unsplash_pose_dataset\unsplash_pose_uZS-v9aa338.jpg,85.44,ok
