filename,score,quality_label,filepath,status
unsplash_pose_7mYMFtkjObs.jpg,96.01,excellent,unsplash_pose_dataset\unsplash_pose_7mYMFtkjObs.jpg,ok
unsplash_pose_l1LjCZhcrn8.jpg,95.54,excellent,unsplash_pose_dataset\unsplash_pose_l1LjCZhcrn8.jpg,ok
unsplash_pose_7rZI78EgBUc.jpg,92.93,excellent,unsplash_pose_dataset\unsplash_pose_7rZI78EgBUc.jpg,ok
unsplash_pose_nyA-t63X22c.jpg,91.74,excellent,unsplash_pose_dataset\unsplash_pose_nyA-t63X22c.jpg,ok
unsplash_pose_ke0Ts9N7l6I.jpg,91.53,excellent,unsplash_pose_dataset\unsplash_pose_ke0Ts9N7l6I.jpg,ok
unsplash_pose_7DdekhjoAl0.jpg,91.5,excellent,unsplash_pose_dataset\unsplash_pose_7DdekhjoAl0.jpg,ok
unsplash_pose_OlknUkex2CA.jpg,90.25,excellent,unsplash_pose_dataset\unsplash_pose_OlknUkex2CA.jpg,ok
unsplash_pose_R8BB9uDpVLc.jpg,89.19,excellent,unsplash_pose_dataset\unsplash_pose_R8BB9uDpVLc.jpg,ok
unsplash_pose_pj2LT1vSjaY.jpg,89.06,excellent,unsplash_pose_dataset\unsplash_pose_pj2LT1vSjaY.jpg,ok
unsplash_pose_PpLkFQk5is4.jpg,88.74,excellent,unsplash_pose_dataset\unsplash_pose_PpLkFQk5is4.jpg,ok
unsplash_pose_OTdceLl0TWw.jpg,88.72,excellent,unsplash_pose_dataset\unsplash_pose_OTdceLl0TWw.jpg,ok
unsplash_pose_98G1W52Q7f0.jpg,88.45,excellent,unsplash_pose_dataset\unsplash_pose_98G1W52Q7f0.jpg,ok
unsplash_pose_o1v2RwnVTxI.jpg,88.38,excellent,unsplash_pose_dataset\unsplash_pose_o1v2RwnVTxI.jpg,ok
unsplash_pose_JAXl0bI5P70.jpg,88.33,excellent,unsplash_pose_dataset\unsplash_pose_JAXl0bI5P70.jpg,ok
unsplash_pose_Q3xYu5EKpSE.jpg,88.2,excellent,unsplash_pose_dataset\unsplash_pose_Q3xYu5EKpSE.jpg,ok
unsplash_pose_YaMVnpW92Os.jpg,87.77,excellent,unsplash_pose_dataset\unsplash_pose_YaMVnpW92Os.jpg,ok
unsplash_pose_ikQms1GeDp8.jpg,87.73,excellent,unsplash_pose_dataset\unsplash_pose_ikQms1GeDp8.jpg,ok
unsplash_pose_RgZ14gbYdLA.jpg,87.6,excellent,unsplash_pose_dataset\unsplash_pose_RgZ14gbYdLA.jpg,ok
unsplash_pose_BONVzPnUyY4.jpg,87.55,excellent,unsplash_pose_dataset\unsplash_pose_BONVzPnUyY4.jpg,ok
unsplash_pose_UjZt-BWwM-M.jpg,87.52,excellent,unsplash_pose_dataset\unsplash_pose_UjZt-BWwM-M.jpg,ok
unsplash_pose_5HJ7Sl0QRtE.jpg,87.47,excellent,unsplash_pose_dataset\unsplash_pose_5HJ7Sl0QRtE.jpg,ok
unsplash_pose_eC_uhOmownM.jpg,87.4,excellent,unsplash_pose_dataset\unsplash_pose_eC_uhOmownM.jpg,ok
unsplash_pose_z6TagXYrOaU.jpg,87.37,excellent,unsplash_pose_dataset\unsplash_pose_z6TagXYrOaU.jpg,ok
unsplash_pose_Xnzk8PMqjKA.jpg,87.29,excellent,unsplash_pose_dataset\unsplash_pose_Xnzk8PMqjKA.jpg,ok
unsplash_pose_8GIvE_7VjIc.jpg,87.25,excellent,unsplash_pose_dataset\unsplash_pose_8GIvE_7VjIc.jpg,ok
unsplash_pose_rt59JCXzpcU.jpg,87.18,excellent,unsplash_pose_dataset\unsplash_pose_rt59JCXzpcU.jpg,ok
unsplash_pose_RqeNxbKWhZI.jpg,87.05,excellent,unsplash_pose_dataset\unsplash_pose_RqeNxbKWhZI.jpg,ok
unsplash_pose_mnOlw0ERRDg.jpg,87.04,excellent,unsplash_pose_dataset\unsplash_pose_mnOlw0ERRDg.jpg,ok
unsplash_pose_H5oxFwfUr6s.jpg,86.99,excellent,unsplash_pose_dataset\unsplash_pose_H5oxFwfUr6s.jpg,ok
unsplash_pose_fKszlW65LKE.jpg,86.87,excellent,unsplash_pose_dataset\unsplash_pose_fKszlW65LKE.jpg,ok
unsplash_pose_9dbd26SY6vI.jpg,86.81,excellent,unsplash_pose_dataset\unsplash_pose_9dbd26SY6vI.jpg,ok
unsplash_pose_BReSQo8qwjs.jpg,86.72,excellent,unsplash_pose_dataset\unsplash_pose_BReSQo8qwjs.jpg,ok
unsplash_pose_aTHs7ozqgNM.jpg,86.66,excellent,unsplash_pose_dataset\unsplash_pose_aTHs7ozqgNM.jpg,ok
unsplash_pose_UlckiiBORNc.jpg,86.66,excellent,unsplash_pose_dataset\unsplash_pose_UlckiiBORNc.jpg,ok
unsplash_pose_C1sDxiSsE-8.jpg,86.6,excellent,unsplash_pose_dataset\unsplash_pose_C1sDxiSsE-8.jpg,ok
unsplash_pose_wIGyzIHN7-U.jpg,86.59,excellent,unsplash_pose_dataset\unsplash_pose_wIGyzIHN7-U.jpg,ok
