filename,score,quality_label,filepath,status
unsplash_pose_7mYMFtkjObs.jpg,96.01,excellent,D:\CDAC PGCP AI\Project Idea\Pose Suggestor\Unsplash1.2K\unsplash_pose_7mYMFtkjObs.jpg,ok
unsplash_pose_l1LjCZhcrn8.jpg,95.54,excellent,D:\CDAC PGCP AI\Project Idea\Pose Suggestor\Unsplash1.2K\unsplash_pose_l1LjCZhcrn8.jpg,ok
unsplash_pose_iTmnPGXAXCs.jpg,94.5,excellent,D:\CDAC PGCP AI\Project Idea\Pose Suggestor\Unsplash1.2K\unsplash_pose_iTmnPGXAXCs.jpg,ok
unsplash_pose_F2DDIttKWWk.jpg,93.81,excellent,D:\CDAC PGCP AI\Project Idea\Pose Suggestor\Unsplash1.2K\unsplash_pose_F2DDIttKWWk.jpg,ok
unsplash_pose_b-M2wYhy78E.jpg,93.57,excellent,D:\CDAC PGCP AI\Project Idea\Pose Suggestor\Unsplash1.2K\unsplash_pose_b-M2wYhy78E.jpg,ok
unsplash_pose_7rZI78EgBUc.jpg,92.93,excellent,D:\CDAC PGCP AI\Project Idea\Pose Suggestor\Unsplash1.2K\unsplash_pose_7rZI78EgBUc.jpg,ok
unsplash_pose_HXGcZPWMYq8.jpg,92.59,excellent,D:\CDAC PGCP AI\Project Idea\Pose Suggestor\Unsplash1.2K\unsplash_pose_HXGcZPWMYq8.jpg,ok
unsplash_pose_PsEusUQerUY.jpg,92.52,excellent,D:\CDAC PGCP AI\Project Idea\Pose Suggestor\Unsplash1.2K\unsplash_pose_PsEusUQerUY.jpg,ok
unsplash_pose_F8v-Pa7LW7w.jpg,92.12,excellent,D:\CDAC PGCP AI\Project Idea\Pose Suggestor\Unsplash1.2K\unsplash_pose_F8v-Pa7LW7w.jpg,ok
unsplash_pose_nyA-t63X22c.jpg,91.74,excellent,D:\CDAC PGCP AI\Project Idea\Pose Suggestor\Unsplash1.2K\unsplash_pose_nyA-t63X22c.jpg,ok
unsplash_pose_1dCQ0GtB_4c.jpg,91.63,excellent,D:\CDAC PGCP AI\Project Idea\Pose Suggestor\Unsplash1.2K\unsplash_pose_1dCQ0GtB_4c.jpg,ok
unsplash_pose_ke0Ts9N7l6I.jpg,91.53,excellent,D:\CDAC PGCP AI\Project Idea\Pose Suggestor\Unsplash1.2K\unsplash_pose_ke0Ts9N7l6I.jpg,ok
unsplash_pose_W6th4cHlHhY.jpg,90.76,excellent,D:\CDAC PGCP AI\Project Idea\Pose Suggestor\Unsplash1.2K\unsplash_pose_W6th4cHlHhY.jpg,ok
unsplash_pose_TpqQdhtZu7A.jpg,90.67,excellent,D:\CDAC PGCP AI\Project Idea\Pose Suggestor\Unsplash1.2K\unsplash_pose_TpqQdhtZu7A.jpg,ok
unsplash_pose_OlbniAlAEm0.jpg,90.51,excellent,D:\CDAC PGCP AI\Project Idea\Pose Suggestor\Unsplash1.2K\unsplash_pose_OlbniAlAEm0.jpg,ok
unsplash_pose_SGQHS8l7qVc.jpg,90.47,excellent,D:\CDAC PGCP AI\Project Idea\Pose Suggestor\Unsplash1.2K\unsplash_pose_SGQHS8l7qVc.jpg,ok
unsplash_pose_OlknUkex2CA.jpg,90.25,excellent,D:\CDAC PGCP AI\Project Idea\Pose Suggestor\Unsplash1.2K\unsplash_pose_OlknUkex2CA.jpg,ok
unsplash_pose_n00w1KoehAs.jpg,89.78,excellent,D:\CDAC PGCP AI\Project Idea\Pose Suggestor\Unsplash1.2K\unsplash_pose_n00w1KoehAs.jpg,ok
unsplash_pose_Ytf8oqDzmb4.jpg,89.27,excellent,D:\CDAC PGCP AI\Project Idea\Pose Suggestor\Unsplash1.2K\unsplash_pose_Ytf8oqDzmb4.jpg,ok
unsplash_pose_R8BB9uDpVLc.jpg,89.19,excellent,D:\CDAC PGCP AI\Project Idea\Pose Suggestor\Unsplash1.2K\unsplash_pose_R8BB9uDpVLc.jpg,ok
unsplash_pose_pj2LT1vSjaY.jpg,89.06,excellent,D:\CDAC PGCP AI\Project Idea\Pose Suggestor\Unsplash1.2K\unsplash_pose_pj2LT1vSjaY.jpg,ok
unsplash_pose_bm15wPv3LGc.jpg,89.03,excellent,D:\CDAC PGCP AI\Project Idea\Pose Suggestor\Unsplash1.2K\unsplash_pose_bm15wPv3LGc.jpg,ok
unsplash_pose_PpLkFQk5is4.jpg,88.74,excellent,D:\CDAC PGCP AI\Project Idea\Pose Suggestor\Unsplash1.2K\unsplash_pose_PpLkFQk5is4.jpg,ok
unsplash_pose_OTdceLl0TWw.jpg,88.72,excellent,D:\CDAC PGCP AI\Project Idea\Pose Suggestor\Unsplash1.2K\unsplash_pose_OTdceLl0TWw.jpg,ok
unsplash_pose_98G1W52Q7f0.jpg,88.45,excellent,D:\CDAC PGCP AI\Project Idea\Pose Suggestor\Unsplash1.2K\unsplash_pose_98G1W52Q7f0.jpg,ok
unsplash_pose_BnS3iWJkv2E.jpg,88.42,excellent,D:\CDAC PGCP AI\Project Idea\Pose Suggestor\Unsplash1.2K\unsplash_pose_BnS3iWJkv2E.jpg,ok
unsplash_pose_o1v2RwnVTxI.jpg,88.38,excellent,D:\CDAC PGCP AI\Project Idea\Pose Suggestor\Unsplash1.2K\unsplash_pose_o1v2RwnVTxI.jpg,ok
unsplash_pose_Q3xYu5EKpSE.jpg,88.2,excellent,D:\CDAC PGCP AI\Project Idea\Pose Suggestor\Unsplash1.2K\unsplash_pose_Q3xYu5EKpSE.jpg,ok
unsplash_pose_pMFcZyMYxsE.jpg,87.94,excellent,D:\CDAC PGCP AI\Project Idea\Pose Suggestor\Unsplash1.2K\unsplash_pose_pMFcZyMYxsE.jpg,ok
unsplash_pose_Fdmhqxd7Dbk.jpg,87.93,excellent,D:\CDAC PGCP AI\Project Idea\Pose Suggestor\Unsplash1.2K\unsplash_pose_Fdmhqxd7Dbk.jpg,ok
unsplash_pose_ikQms1GeDp8.jpg,87.73,excellent,D:\CDAC PGCP AI\Project Idea\Pose Suggestor\Unsplash1.2K\unsplash_pose_ikQms1GeDp8.jpg,ok
unsplash_pose_UM9AwZWpvK4.jpg,87.68,excellent,D:\CDAC PGCP AI\Project Idea\Pose Suggestor\Unsplash1.2K\unsplash_pose_UM9AwZWpvK4.jpg,ok
unsplash_pose_RgZ14gbYdLA.jpg,87.6,excellent,D:\CDAC PGCP AI\Project Idea\Pose Suggestor\Unsplash1.2K\unsplash_pose_RgZ14gbYdLA.jpg,ok
unsplash_pose_BONVzPnUyY4.jpg,87.55,excellent,D:\CDAC PGCP AI\Project Idea\Pose Suggestor\Unsplash1.2K\unsplash_pose_BONVzPnUyY4.jpg,ok
unsplash_pose_UjZt-BWwM-M.jpg,87.52,excellent,D:\CDAC PGCP AI\Project Idea\Pose Suggestor\Unsplash1.2K\unsplash_pose_UjZt-BWwM-M.jpg,ok
unsplash_pose_z2kQOCh4874.jpg,87.5,excellent,D:\CDAC PGCP AI\Project Idea\Pose Suggestor\Unsplash1.2K\unsplash_pose_z2kQOCh4874.jpg,ok
unsplash_pose_hxm7iqiHcWI.jpg,87.48,excellent,D:\CDAC PGCP AI\Project Idea\Pose Suggestor\Unsplash1.2K\unsplash_pose_hxm7iqiHcWI.jpg,ok
unsplash_pose_5HJ7Sl0QRtE.jpg,87.47,excellent,D:\CDAC PGCP AI\Project Idea\Pose Suggestor\Unsplash1.2K\unsplash_pose_5HJ7Sl0QRtE.jpg,ok
unsplash_pose_eC_uhOmownM.jpg,87.4,excellent,D:\CDAC PGCP AI\Project Idea\Pose Suggestor\Unsplash1.2K\unsplash_pose_eC_uhOmownM.jpg,ok
unsplash_pose_z6TagXYrOaU.jpg,87.37,excellent,D:\CDAC PGCP AI\Project Idea\Pose Suggestor\Unsplash1.2K\unsplash_pose_z6TagXYrOaU.jpg,ok
unsplash_pose_Xnzk8PMqjKA.jpg,87.29,excellent,D:\CDAC PGCP AI\Project Idea\Pose Suggestor\Unsplash1.2K\unsplash_pose_Xnzk8PMqjKA.jpg,ok
unsplash_pose_8GIvE_7VjIc.jpg,87.25,excellent,D:\CDAC PGCP AI\Project Idea\Pose Suggestor\Unsplash1.2K\unsplash_pose_8GIvE_7VjIc.jpg,ok
unsplash_pose_F7HKg6Z2Avo.jpg,87.19,excellent,D:\CDAC PGCP AI\Project Idea\Pose Suggestor\Unsplash1.2K\unsplash_pose_F7HKg6Z2Avo.jpg,ok
unsplash_pose_rt59JCXzpcU.jpg,87.18,excellent,D:\CDAC PGCP AI\Project Idea\Pose Suggestor\Unsplash1.2K\unsplash_pose_rt59JCXzpcU.jpg,ok
unsplash_pose_RqeNxbKWhZI.jpg,87.05,excellent,D:\CDAC PGCP AI\Project Idea\Pose Suggestor\Unsplash1.2K\unsplash_pose_RqeNxbKWhZI.jpg,ok
unsplash_pose_H5oxFwfUr6s.jpg,86.99,excellent,D:\CDAC PGCP AI\Project Idea\Pose Suggestor\Unsplash1.2K\unsplash_pose_H5oxFwfUr6s.jpg,ok
unsplash_pose_fKszlW65LKE.jpg,86.87,excellent,D:\CDAC PGCP AI\Project Idea\Pose Suggestor\Unsplash1.2K\unsplash_pose_fKszlW65LKE.jpg,ok
unsplash_pose_N1bW8MIiEMM.jpg,86.82,excellent,D:\CDAC PGCP AI\Project Idea\Pose Suggestor\Unsplash1.2K\unsplash_pose_N1bW8MIiEMM.jpg,ok
unsplash_pose_BReSQo8qwjs.jpg,86.72,excellent,D:\CDAC PGCP AI\Project Idea\Pose Suggestor\Unsplash1.2K\unsplash_pose_BReSQo8qwjs.jpg,ok
unsplash_pose_qVxEvbkzr5Q.jpg,86.68,excellent,D:\CDAC PGCP AI\Project Idea\Pose Suggestor\Unsplash1.2K\unsplash_pose_qVxEvbkzr5Q.jpg,ok
unsplash_pose_UlckiiBORNc.jpg,86.66,excellent,D:\CDAC PGCP AI\Project Idea\Pose Suggestor\Unsplash1.2K\unsplash_pose_UlckiiBORNc.jpg,ok
unsplash_pose_aTHs7ozqgNM.jpg,86.66,excellent,D:\CDAC PGCP AI\Project Idea\Pose Suggestor\Unsplash1.2K\unsplash_pose_aTHs7ozqgNM.jpg,ok
unsplash_pose_C1sDxiSsE-8.jpg,86.6,excellent,D:\CDAC PGCP AI\Project Idea\Pose Suggestor\Unsplash1.2K\unsplash_pose_C1sDxiSsE-8.jpg,ok
unsplash_pose_wIGyzIHN7-U.jpg,86.59,excellent,D:\CDAC PGCP AI\Project Idea\Pose Suggestor\Unsplash1.2K\unsplash_pose_wIGyzIHN7-U.jpg,ok
unsplash_pose_rMsF77XCx0U.jpg,86.53,excellent,D:\CDAC PGCP AI\Project Idea\Pose Suggestor\Unsplash1.2K\unsplash_pose_rMsF77XCx0U.jpg,ok
